title	cover_image_url	description	date	url_slug	meme_video_url
Russia have finally nailed training	https://i.imgur.com/Z2TcFzf.png?fb	Russian recruit training surpasses NATO standards. Here's how...	06/10/2022	russia_have_finally	https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&indexx
Setting up the wolf trap for Ukraine	https://jamestown.org/wp-content/uploads/2019/05/Russian-Special-Forces.png	Kremlin official says trap for Ukraine is set	06/10/2022		https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
Russia starts mobilizing ethnic Russians	https://i.imgur.com/JdAaWNU.png	"I can't believe it" says Anton "I thought...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
13 T-14 Armata tanks finally enter the scene	https://upload.wikimedia.org/wikipedia/commons/c/cf/Alabino110416-18.jpg	Lavrov "Yes, they work...			https://www.youtube.com/watch?v=hnLq23wrXPE
10 reasons Elon Musk is right about Ukraine	https://e3.365dm.com/22/08/768x432/skynews-elon-musk-ons-conference_5880243.jpg?20220829152735	Elon Musk is a high IQ individual and Russia recognises his talents. This is why...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
Russia reveals a secret weapon	https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fcd1bce7a-432d-11ed-8885-043c27446b97.jpg?crop=4810%2C2706%2C123%2C462	Putin "NATO will finally fear...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
The #1 reason Putin is right	https://media.npr.org/assets/img/2022/10/04/gettyimages-12436214131-a5591d73f6ef7a2c06902a823e2798fbb34774bc-s1100-c50.jpg	The West fails to understand the...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
Proof that 28 HIMARS have been destroyed	https://gdb.rferl.org/D116D3E4-40FA-44B1-A51A-27FBE876D4A6_w1200_r1.jpg	An independent OSINT investigation has...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index
Russian morale has finally risen	https://pbs.twimg.com/media/E08ULQ4X0AcMLzd?format=jpg&name=4096x4096	With the introduction of new...			https://www.youtube.com/watch?v=4fNz4KLxD8A&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index=5
Russia does not fear HIMAS		No supply depots have been...			https://www.youtube.com/watch?v=tvIcskem59g
Drones have had no effect on morale	https://cdni.russiatoday.com/rbthmedia/images/2017.10/article/59ddf50685600a6a8b189e9c.jpg	Drones have not..			https://www.youtube.com/watch?v=S3FGWPMjl6M
Russia has committed no war crimes		Lavrov "No, it's a lie...			https://www.youtube.com/watch?v=E_PIbQukh60&list=PLsaDhwRShvRJgbfMYjsRbN6_VUTfqJrfX&index